date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:18	325/325	---MCZ	200	added ('OK')	text/plain	etag:W/%22289-49ygE6o/+MIDPmF3vo3Cz3mqmfI%22	https://www.blackgarlic.co.uk/robots.txt		(from )
15:01:22	1351068/1351068	---MCZ	200	added ('OK')	text/html	etag:W/%22f50540bfe12865c7f754f4020cd46383%22	https://www.blackgarlic.co.uk/	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/index.html	(from )
15:01:24	26928/26928	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:16:30%20GMT	https://static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png	(from https://www.blackgarlic.co.uk/)
15:01:25	2056/2056	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:16:30%20GMT	https://static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png	(from https://www.blackgarlic.co.uk/)
15:01:26	24128/24128	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:16:31%20GMT	https://static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6~mv2_d_2363_2363_s_2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/5a475d_d4d6921d94b34331ae7511429fa06be6_mv2_d_2363_2363_s_2.png	(from https://www.blackgarlic.co.uk/)
15:01:27	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	E:/NEW%20WEB/blackgarlic/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.blackgarlic.co.uk/)
15:01:28	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	E:/NEW%20WEB/blackgarlic/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.blackgarlic.co.uk/)
15:01:33	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Dec%202024%2009:31:26%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	E:/NEW%20WEB/blackgarlic/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.blackgarlic.co.uk/)
15:01:50	720099/720099	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22ecf98d185c5413837841f54edebed08f%22	https://www.blackgarlic.co.uk/c	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/c.6.delayed	(from https://www.blackgarlic.co.uk/)
15:02:03	720000/720000	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2220ac92ce3bbb60ae28390fe0593edb72%22	https://www.blackgarlic.co.uk/t	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/t.7.delayed	(from https://www.blackgarlic.co.uk/)
15:02:07	71567/71567	---MCZ	200	added ('OK')	text/xml	date:Fri,%2006%20Dec%202024%2009:32:04%20GMT	https://www.blackgarlic.co.uk/blog-feed.xml	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/blog-feed.xml	(from https://www.blackgarlic.co.uk/)
15:02:08	581/581	---M-Z	200	added ('OK')	application/javascript	etag:W/%221d50bd85b307fc6feace591497b55ba4%22	https://static.parastorage.com/services/form-app/1.1402.0/client-viewer/form-app-header.chunk.min.js	E:/NEW%20WEB/blackgarlic/static.parastorage.com/services/form-app/1.1402.0/client-viewer/form-app-header.chunk.min.js	(from https://www.blackgarlic.co.uk/)
15:02:08	125378/125378	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f8fbd30da0f7e8ed29fd6936f2de0022%22	https://static.parastorage.com/services/form-app/1.1402.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	E:/NEW%20WEB/blackgarlic/static.parastorage.com/services/form-app/1.1402.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	(from https://www.blackgarlic.co.uk/)
15:02:10	1307744/1307744	---MCZ	200	added ('OK')	text/html	etag:W/%223b6d0971fbfa8f9466abdae262b039f4%22	https://www.blackgarlic.co.uk/?lang=fr	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/indexe68f.html	(from https://www.blackgarlic.co.uk/)
15:02:11	13970/13970	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b5872bcc3a107b9ae57cbc08925ee84c%22	https://static.parastorage.com/services/form-app/1.1402.0/client-viewer/1093.chunk.min.js	E:/NEW%20WEB/blackgarlic/static.parastorage.com/services/form-app/1.1402.0/client-viewer/1093.chunk.min.js	(from https://www.blackgarlic.co.uk/)
